work_order_id,site_id,site_name,site_type,region,priority,recommended_action,estimated_cost_usd,estimated_downtime_prevented_hours,numeric_risk_score,numeric_risk_level,vision_findings_level,n_defects_detected,image_file,site_coastal_exposure,site_age_years,merged_assessment,numeric_interpretation,vision_interpretation,agent_trace,generated_at
WO-SITE0039-202607301728,SITE0039,Jawa Timur - Tual,Microcell Pole,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.1718490521152924e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-38-_jpeg.rf.2cffcfd5f235e21515cc57cf68a44bd0.jpg,Low,6.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:6.0(+0.1) Failures:0(+0.0) Score:0.10,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0039', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.10', '[decision] LOW']",2026-07-30T17:28:20.161188Z
WO-SITE0040-202607301728,SITE0040,Kalimantan Timur - Makassar,Microcell Pole,Kalimantan Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,8.514931660203836e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-24-_jpeg.rf.819c2553d60169fa3c56c6004395683c.jpg,Medium,11.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Medium(+0.2) Age:11.0(+0.6) Failures:0(+0.0) Score:0.80,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0040', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.80', '[decision] LOW']",2026-07-30T17:28:20.167943Z
WO-SITE0041-202607301728,SITE0041,Jawa Tengah - Serang,BTS Tower,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.4651961038766495e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-51-_jpeg.rf.3e02cb2ab9ce06cd184dd6b8cb3d393b.jpg,Medium,10.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Medium(+0.2) Age:10.0(+0.5) Failures:0(+0.0) Score:0.70,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0041', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.70', '[decision] LOW']",2026-07-30T17:28:20.174199Z
WO-SITE0042-202607301728,SITE0042,Bali-Nusra - Sawahlunto,Indoor BTS Room,Jawa Tengah,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,8.284258490811293e-06,NORMAL,CRITICAL,2,pipe-defects-ybzjr_p09h0084-photo-01_jpg.rf.3073e4813f4ac43b7acaa4a0665d68d9.jpg,Medium,3.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:3.0(+0.0) Failures:1(+0.5) Score:3.70,Risk=0.000 NORMAL.,"2 defects, high-confidence crack.","['[collect] SITE0042', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.70', '[decision] HIGH']",2026-07-30T17:28:20.180453Z
WO-SITE0043-202607301728,SITE0043,Jabodetabek - Batam,BTS Tower,Jawa Tengah,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.088162280297719e-05,NORMAL,CRITICAL,14,pipe-defects-ybzjr_a4b8bfb5a418bf33304750f0c42f01a0_jpg.rf.9811b762f9bb5a0996176973ff72b5c4.jpg,Medium,12.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:12.0(+0.7) Failures:0(+0.0) Score:3.90,Risk=0.000 NORMAL.,"14 defects, high-confidence crack.","['[collect] SITE0043', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.90', '[decision] HIGH']",2026-07-30T17:28:20.185981Z
WO-SITE0044-202607301728,SITE0044,Jabodetabek - Kota Administrasi Jakarta Timur,Indoor BTS Room,Jawa Timur,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,2.340791392902e-05,NORMAL,CRITICAL,8,corrosion_detection-unzub_Bolts-in-non-salt-water-environments-and-not-in-constant-contact-with-water--such-as-this-one--are-more-than-likely-just-rusty-and-safe-for-climbing-_jpg.rf.2302c4f0d4e3e6b3a6b12b6fa3ada02d.jpg,Medium,9.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:9.0(+0.4) Failures:0(+0.0) Score:3.60,Risk=0.000 NORMAL.,"8 defects, high-confidence crack.","['[collect] SITE0044', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.60', '[decision] HIGH']",2026-07-30T17:28:20.191703Z
WO-SITE0045-202607301728,SITE0045,Sulawesi Selatan - Tanjungpinang,Indoor BTS Room,Kalimantan Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.275714724337795e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-62-_jpeg.rf.79a4f977b4fdc01b014033dabce6d279.jpg,Low,3.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:3.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0045', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.197402Z
WO-SITE0046-202607301728,SITE0046,Kalimantan Timur - Banjarmasin,Outdoor Cabinet,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.983207917855909e-05,NORMAL,MEDIUM,12,corrosion_detection-unzub_blog-31-4-statistics-on-galvanic-corrosion_jpg.rf.0d44539a26c12098d7eac3ecf1fdd135.jpg,High,5.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:5.0(+0.0) Failures:0(+0.0) Score:0.50,Risk=0.000 NORMAL.,12 corrosion regions.,"['[collect] SITE0046', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.50', '[decision] LOW']",2026-07-30T17:28:20.203393Z
WO-SITE0047-202607301728,SITE0047,Jawa Tengah - Sukabumi,BTS Tower,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.272330086060242e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-16-_jpeg.rf.b89aa6c01264061f4a363caf13dbc6fe.jpg,Low,5.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:5.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0047', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.209566Z
WO-SITE0048-202607301728,SITE0048,Jawa Barat - Kotamobagu,BTS Tower,Sulawesi Selatan,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,6.679098979483547e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-44-_jpeg.rf.bb748a84146d3ea76e2d86079560daa7.jpg,Low,3.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:3.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0048', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.215390Z
WO-SITE0049-202607301728,SITE0049,Bali-Nusra - Surakarta,BTS Tower,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.879570434302278e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-44-_jpeg.rf.e5f8fc2a4b8bc959fc758adb322a53df.jpg,Low,4.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:4.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0049', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.221784Z
WO-SITE0050-202607301728,SITE0050,Jawa Barat - Banda Aceh,Microcell Pole,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,8.552906925332345e-06,NORMAL,CLEAN,0,corrosion_detection-unzub_Galvanic-corrosion-on-mask2_jpg.rf.c8331f260e48684332e3278721660a5d.jpg,Low,12.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:12.0(+0.7) Failures:0(+0.0) Score:0.70,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0050', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.70', '[decision] LOW']",2026-07-30T17:28:20.227658Z
WO-SITE0051-202607301728,SITE0051,Jawa Timur - Manado,Indoor BTS Room,Bali-Nusra,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.456059862583773e-06,NORMAL,MEDIUM,7,corrosion_detection-unzub_corrosion-metal-rusty-pipe-corrosion-metal-rusty-pipe-abandoned-pier-237028044_jpg.rf.233614e4401886136209a420389fbfa4.jpg,Low,3.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Low(+0.0) Age:3.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,7 corrosion regions.,"['[collect] SITE0051', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.233979Z
WO-SITE0052-202607301728,SITE0052,Jawa Timur - Singkawang,Indoor BTS Room,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,6.004387040267784e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-73-_jpeg.rf.3675195e059111af178e8d4e70e4250d.jpg,Low,4.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:4.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0052', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.239653Z
WO-SITE0053-202607301728,SITE0053,Kalimantan Timur - Payakumbuh,Microcell Pole,Sulawesi Selatan,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.282136820532756e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-19-_jpeg.rf.f50af082956be3007f97190bc97e4709.jpg,Medium,11.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Medium(+0.2) Age:11.0(+0.6) Failures:0(+0.0) Score:0.80,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0053', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.80', '[decision] LOW']",2026-07-30T17:28:20.245887Z
WO-SITE0054-202607301728,SITE0054,Jawa Barat - Jambi,Outdoor Cabinet,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.874316999872322e-06,NORMAL,MEDIUM,8,corrosion_detection-unzub_main-qimg-7c290a54e6fe1a059923ceebbf167164-lq_jpg.rf.81cedab94eec1d07aefaa8c8b56b65f9.jpg,Medium,6.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Medium(+0.2) Age:6.0(+0.1) Failures:0(+0.0) Score:0.30,Risk=0.000 NORMAL.,8 corrosion regions.,"['[collect] SITE0054', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.30', '[decision] LOW']",2026-07-30T17:28:20.251600Z
WO-SITE0055-202607301728,SITE0055,Sulawesi Selatan - Blitar,Outdoor Cabinet,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.589725876699454e-06,NORMAL,MEDIUM,8,corrosion_detection-unzub_Steel-rivets-on-a-copper-bar-submerged-in-3--sodium-chloride-solution-after-six-months_jpg.rf.900a19bf4d2d976e21ee9f2552602736.jpg,Medium,2.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Medium(+0.2) Age:2.0(+0.0) Failures:0(+0.0) Score:0.20,Risk=0.000 NORMAL.,8 corrosion regions.,"['[collect] SITE0055', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.20', '[decision] LOW']",2026-07-30T17:28:20.257506Z
WO-SITE0056-202607301728,SITE0056,Kalimantan Timur - Mojokerto,Microcell Pole,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.1397421005740508e-05,NORMAL,MEDIUM,5,corrosion_detection-unzub_A-multi-metal-contact-point-copper-iron-and-stainless-steel-with-paint-coating-layers_png.rf.7d9d2e913ed1a02a3af4689dd913c815.jpg,Medium,11.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Medium(+0.2) Age:11.0(+0.6) Failures:0(+0.0) Score:0.80,Risk=0.000 NORMAL.,5 corrosion regions.,"['[collect] SITE0056', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.80', '[decision] LOW']",2026-07-30T17:28:20.263242Z
WO-SITE0057-202607301728,SITE0057,Kalimantan Timur - Payakumbuh,Microcell Pole,Sulawesi Selatan,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.3457850169222558e-05,NORMAL,CRITICAL,11,corrosion_detection-unzub_Pitting-corrosion-on-the-wall-of-an-Cr18-Ni10-austenitic-stainless-steel-tank-_jpg.rf.e84de6d7abfc1baeedfdddb2ed959039.jpg,Low,10.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:10.0(+0.5) Failures:1(+0.5) Score:4.00,Risk=0.000 NORMAL.,"11 defects, high-confidence crack.","['[collect] SITE0057', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=4.00', '[decision] HIGH']",2026-07-30T17:28:20.269126Z
WO-SITE0058-202607301728,SITE0058,Jawa Barat - Cimahi,Indoor BTS Room,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.254580519078699e-06,NORMAL,MEDIUM,9,corrosion_detection-unzub_408x240p204x120_jpg.rf.d675d807ea5d612296c4d4cc35c854f4.jpg,Low,7.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Low(+0.0) Age:7.0(+0.2) Failures:0(+0.0) Score:0.20,Risk=0.000 NORMAL.,9 corrosion regions.,"['[collect] SITE0058', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.20', '[decision] LOW']",2026-07-30T17:28:20.275032Z
WO-SITE0059-202607301728,SITE0059,Jabodetabek - Padang,Microcell Pole,Sulawesi Selatan,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.4872829990466774e-05,NORMAL,MEDIUM,4,corrosion_detection-unzub_Crevice-corrosion-occurs-in-areas-of-restricted-geometries--However--the-strategies-that-deal-with-it-depend-on-the-affected-materials-and-operating-mechanisms-_jpg.rf.a63192db550a9d51227467e9b38e9ac0.jpg,Low,5.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Low(+0.0) Age:5.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,4 corrosion regions.,"['[collect] SITE0059', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.280993Z
WO-SITE0060-202607301728,SITE0060,Jawa Barat - Bogor,BTS Tower,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.20988371932996e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-37-_jpeg.rf.74d6d2285600c1856e175cb377e43f49.jpg,Low,4.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:4.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0060', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.286644Z
WO-SITE0061-202607301728,SITE0061,Jabodetabek - Purwokerto,Outdoor Cabinet,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.521586863828341e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-4-_jpeg.rf.a80a982df2f3182563af7d44c4b0dcb4.jpg,Low,8.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:8.0(+0.3) Failures:0(+0.0) Score:0.30,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0061', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.30', '[decision] LOW']",2026-07-30T17:28:20.292249Z
WO-SITE0062-202607301728,SITE0062,Sumatera Utara - Tarakan,Microcell Pole,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.022078975352176e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-62-_jpeg.rf.79a4f977b4fdc01b014033dabce6d279.jpg,Low,2.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:2.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0062', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.298548Z
WO-SITE0063-202607301728,SITE0063,Sulawesi Selatan - Manado,BTS Tower,Sumatera Utara,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.570237843916035e-05,NORMAL,CRITICAL,9,corrosion_detection-unzub_Adjacent-picture-shows-a-classic-example-of-galvanic-corrosion--a-stainless-steel-screw-in-contact-with-a-cadmium-plated-steel-washer-_jpg.rf.7f47419c6526a5a0675b5cf2dc094d32.jpg,Medium,5.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:5.0(+0.0) Failures:1(+0.5) Score:3.70,Risk=0.000 NORMAL.,"9 defects, high-confidence crack.","['[collect] SITE0063', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.70', '[decision] HIGH']",2026-07-30T17:28:20.304857Z
WO-SITE0064-202607301728,SITE0064,Jawa Barat - Kediri,Indoor BTS Room,Jabodetabek,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,9.367836927341886e-06,NORMAL,CRITICAL,14,pipe-defects-ybzjr_a4b8bfb5a418bf33304750f0c42f01a0_jpg.rf.9811b762f9bb5a0996176973ff72b5c4.jpg,Low,6.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:6.0(+0.1) Failures:1(+0.5) Score:3.60,Risk=0.000 NORMAL.,"14 defects, high-confidence crack.","['[collect] SITE0064', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.60', '[decision] HIGH']",2026-07-30T17:28:20.310942Z
WO-SITE0065-202607301728,SITE0065,Jawa Timur - Bau-Bau,BTS Tower,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.4669318171329964e-05,NORMAL,MEDIUM,9,pipe-defects-ybzjr_fig-6-pinhole-leaks-in-copper-tubing_jpg.rf.f71f0cf56237645918ab6076d7c7ff52.jpg,High,11.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:11.0(+0.6) Failures:0(+0.0) Score:1.10,Risk=0.000 NORMAL.,9 corrosion regions.,"['[collect] SITE0065', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=1.10', '[decision] LOW']",2026-07-30T17:28:20.317251Z
WO-SITE0066-202607301728,SITE0066,Kalimantan Timur - Bukittinggi,Indoor BTS Room,Jawa Tengah,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.2717320012332404e-05,NORMAL,CRITICAL,4,corrosion_detection-unzub_main-qimg-dd1c9e2f7bbbaf14ab142360f5cb6b03-lq_jpg.rf.5d06d7dacfb7124dc3b6b03c353c954d.jpg,Medium,7.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:7.0(+0.2) Failures:1(+0.5) Score:3.90,Risk=0.000 NORMAL.,"4 defects, high-confidence crack.","['[collect] SITE0066', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.90', '[decision] HIGH']",2026-07-30T17:28:20.323630Z
WO-SITE0067-202607301728,SITE0067,Jawa Tengah - Surabaya,Indoor BTS Room,Jabodetabek,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.2980100326369268e-05,NORMAL,CRITICAL,3,corrosion_detection-unzub_surface-cast-iron-corrosion-pitted-260nw-1586460964_jpg.rf.f15b04c98a8af528d7a1116f55c9e2b5.jpg,Low,11.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:11.0(+0.6) Failures:1(+0.5) Score:4.10,Risk=0.000 NORMAL.,"3 defects, high-confidence crack.","['[collect] SITE0067', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=4.10', '[decision] HIGH']",2026-07-30T17:28:20.330022Z
WO-SITE0068-202607301728,SITE0068,Sumatera Utara - Balikpapan,Outdoor Cabinet,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.602990162742953e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-39-_jpeg.rf.656804bf8227fddbca6902c3aed9f43d.jpg,Medium,2.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Medium(+0.2) Age:2.0(+0.0) Failures:0(+0.0) Score:0.20,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0068', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.20', '[decision] LOW']",2026-07-30T17:28:20.335658Z
WO-SITE0069-202607301728,SITE0069,Sulawesi Selatan - Semarang,BTS Tower,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.895668953247352e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-45-_jpeg.rf.3c921dbcec8f5f55e4a6928afca8880e.jpg,High,8.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:High(+0.5) Age:8.0(+0.3) Failures:0(+0.0) Score:0.80,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0069', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.80', '[decision] LOW']",2026-07-30T17:28:20.341222Z
WO-SITE0070-202607301728,SITE0070,Jawa Timur - Kota Administrasi Jakarta Selatan,Microcell Pole,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,8.573314991876301e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-12-_jpeg.rf.ca4526b6bae9152fb2f60bf8e47d2475.jpg,Low,4.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:4.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0070', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.347026Z
WO-SITE0071-202607301728,SITE0071,Bali-Nusra - Ambon,Microcell Pole,Sumatera Utara,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.0650363111985504e-05,NORMAL,CRITICAL,11,corrosion_detection-unzub_Pitting-corrosion-on-the-wall-of-an-Cr18-Ni10-austenitic-stainless-steel-tank-_jpg.rf.e84de6d7abfc1baeedfdddb2ed959039.jpg,Medium,2.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:2.0(+0.0) Failures:0(+0.0) Score:3.20,Risk=0.000 NORMAL.,"11 defects, high-confidence crack.","['[collect] SITE0071', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.20', '[decision] HIGH']",2026-07-30T17:28:20.352982Z
WO-SITE0072-202607301728,SITE0072,Jawa Timur - Padangpanjang,Outdoor Cabinet,Kalimantan Timur,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,5.234579126838925e-06,NORMAL,CRITICAL,5,pipe-defects-ybzjr_istockphoto-457074307-612x612_jpg.rf.4e259c1f26d58c93f6399f73d7b5df3b.jpg,Medium,7.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:7.0(+0.2) Failures:0(+0.0) Score:3.40,Risk=0.000 NORMAL.,"5 defects, high-confidence crack.","['[collect] SITE0072', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.40', '[decision] HIGH']",2026-07-30T17:28:20.359511Z
WO-SITE0073-202607301728,SITE0073,Jawa Barat - Singkawang,Indoor BTS Room,Kalimantan Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.919102212588367e-06,NORMAL,MEDIUM,18,corrosion_detection-unzub_Severe-pitting-and-corrosion-to-the-heat-exchanger_jpg.rf.272ea569688feb91a5029a28ae2fb15f.jpg,High,12.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:12.0(+0.7) Failures:0(+0.0) Score:1.20,Risk=0.000 NORMAL.,18 corrosion regions.,"['[collect] SITE0073', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=1.20', '[decision] LOW']",2026-07-30T17:28:20.366084Z
WO-SITE0074-202607301728,SITE0074,Kalimantan Timur - Blitar,Indoor BTS Room,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.8482507065933164e-05,NORMAL,MEDIUM,10,corrosion_detection-unzub_Galvanic-Corrosion-Corrosion-with-an-Electric-Edge_jpg.rf.da3c21c70a91e968048d33533f828501.jpg,High,2.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:2.0(+0.0) Failures:0(+0.0) Score:0.50,Risk=0.000 NORMAL.,10 corrosion regions.,"['[collect] SITE0074', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.50', '[decision] LOW']",2026-07-30T17:28:20.372117Z
WO-SITE0075-202607301728,SITE0075,Jawa Tengah - Palu,Outdoor Cabinet,Sumatera Utara,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.0166316908098214e-05,NORMAL,CRITICAL,9,corrosion_detection-unzub_download2_jpg.rf.6aadf7c9e0732766f1094dc8e2a9528f.jpg,Low,5.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:5.0(+0.0) Failures:0(+0.0) Score:3.00,Risk=0.000 NORMAL.,"9 defects, high-confidence crack.","['[collect] SITE0075', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.00', '[decision] HIGH']",2026-07-30T17:28:20.377942Z
WO-SITE0076-202607301728,SITE0076,Sulawesi Selatan - Mojokerto,Indoor BTS Room,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.5110834646851522e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-45-_jpeg.rf.3c921dbcec8f5f55e4a6928afca8880e.jpg,Medium,7.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Medium(+0.2) Age:7.0(+0.2) Failures:0(+0.0) Score:0.40,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0076', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.40', '[decision] LOW']",2026-07-30T17:28:20.383900Z
